title	label1	label2	label3
Possible Side Effects	memoir	non-fiction	humor
Still Life with Bread Crumbs	fiction	romance	chick-lit
The A.B.C. Murders (Hercule Poirot, #13)	mystery	fiction	crime
Holy Bible: New International Version	religion	christian	non-fiction
Lover Reborn (Black Dagger Brotherhood, #10)	paranormal	paranormal-romance	vampires
The Duke and I (Bridgertons, #1)	romance	historical-romance	historical
Dragons of Spring Dawning (Dragonlance: Chronicles, #3)	fantasy	fiction	dragons
A Raisin in the Sun	plays	classics	fiction
Altered Carbon (Takeshi Kovacs, #1)	science-fiction	cyberpunk	fiction
The Sum of All Fears (Jack Ryan Universe, #7)	fiction	thriller	espionage
The Good Neighbor	fiction	mystery	thriller
Saga, Vol. 2 (Saga, #2)	graphic-novels	comics	fantasy
The Enemy (Jack Reacher, #8)	thriller	fiction	mystery
Flash Boys: A Wall Street Revolt	non-fiction	business	finance
The Diving Bell and the Butterfly	non-fiction	memoir	biography
Killing Kennedy: The End of Camelot	history	non-fiction	biography
Rogue Lawyer	fiction	mystery	legal-thriller
The Life and Times of the Thunderbolt Kid	non-fiction	memoir	humor
Still Missing	mystery	fiction	thriller
'Tis (Frank McCourt, #2)	non-fiction	memoir	biography
1491: New Revelations of the Americas Before Columbus	history	non-fiction	anthropology
Fairest (The Lunar Chronicles, #3.5)	young-adult	fantasy	science-fiction
An Unquiet Mind: A Memoir of Moods and Madness	psychology	non-fiction	memoir
Jesus Calling: Enjoying Peace in His Presence	christian	non-fiction	faith
Who's Afraid of Virginia Woolf?	plays	drama	classics
The Last Wish (The Witcher, #1)	fantasy	fiction	short-stories
Foucault's Pendulum	fiction	mystery	historical-fiction
A Pocket for Corduroy	picture-books	childrens	fiction
The 5th Horseman (Women's Murder Club, #5)	mystery	fiction	thriller
Kushiel's Dart (Phèdre's Trilogy, #1)	fantasy	romance	fiction
Bonhoeffer: Pastor, Martyr, Prophet, Spy	non-fiction	biography	religion
Explosive Eighteen (Stephanie Plum, #18)	mystery	fiction	humor
Lies (Gone, #3)	young-adult	dystopia	science-fiction
The Pursuit of God	christian	theology	non-fiction
The Iron Knight (The Iron Fey, #4)	fantasy	young-adult	romance
Maisie Dobbs (Maisie Dobbs, #1)	mystery	historical-fiction	fiction
Magician (The Riftwar Saga, #1-2)	fantasy	fiction	epic-fantasy
Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood, #4)	fiction	chick-lit	romance
Feet of Clay (Discworld, #19; City Watch, #3)	fantasy	fiction	humor
The Millennium Trilogy (Millennium Trilogy, #1-3)	crime	fiction	mystery
The Butterfly Garden (The Collector #1)	thriller	mystery	horror
Skinny Legs and All	fiction	humor	literature
Destined for an Early Grave (Night Huntress, #4)	vampires	paranormal	urban-fantasy
In Flight (Up in the Air, #1)	romance	bdsm	erotica
Cross (Alex Cross, #12)	mystery	fiction	thriller
All-American Girl (All-American Girl, #1)	young-adult	romance	chick-lit
Neither Here nor There: Travels in Europe	travel	non-fiction	humor
Boy Meets Boy	young-adult	lgbt	romance
We Are Water	fiction	contemporary	literary-fiction
Max (Maximum Ride, #5)	young-adult	fantasy	science-fiction
Halo (Halo, #1)	angels	young-adult	fantasy
The Inheritance of Loss	fiction	india	historical-fiction
A Darkness At Sethanon (The Riftwar Saga, #4)	fantasy	fiction	epic-fantasy
The Sorrows of Young Werther	classics	fiction	german-literature
At Grave's End (Night Huntress, #3)	vampires	paranormal	urban-fantasy
Don't Let's Go to the Dogs Tonight	memoir	non-fiction	africa
Beauty: A Retelling of the Story of Beauty and the Beast	fairy-tales	fantasy	romance
Eating Animals	non-fiction	food	philosophy
Flyte (Septimus Heap, #2)	fantasy	young-adult	magic
ساق البامبو	novels	literature	fiction
The Girl of Fire and Thorns (Fire and Thorns, #1)	fantasy	young-adult	magic
Enclave (Razorland, #1)	young-adult	dystopia	zombies
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time	non-fiction	science	history
Unnatural Exposure (Kay Scarpetta, #8)	mystery	fiction	crime
Faust: First Part	classics	fiction	plays
Lies My Teacher Told Me	history	non-fiction	education
Fool's Fate (Tawny Man, #3)	fantasy	dragons	magic
Locke & Key, Vol. 1: Welcome to Lovecraft	graphic-novels	horror	comics
The Ask and the Answer (Chaos Walking, #2)	young-adult	dystopia	science-fiction
Scarlett	historical-fiction	fiction	romance
Bloody Bones (Anita Blake, Vampire Hunter #5)	urban-fantasy	vampires	paranormal
This Side of Paradise	fiction	classics	literature
Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West	non-fiction	biography	history
Every Which Way But Dead (The Hollows, #3)	urban-fantasy	fantasy	paranormal
Eligible: A Modern Retelling of Pride and Prejudice (The Austen Project, #4)	fiction	romance	chick-lit
Seven Days in the Art World	art	non-fiction	art-history
The Children of Húrin	fantasy	fiction	classics
The Total Money Makeover: A Proven Plan for Financial Fitness	non-fiction	finance	business
Mr. Popper's Penguins	childrens	fiction	classics
Shadow Puppets (Ender's Shadow, #3)	science-fiction	fiction	fantasy
The Magician's Land (The Magicians, #3)	fantasy	fiction	magic
Light in August	classics	fiction	literature
The Trumpet of the Swan	childrens	classics	young-adult
Tenth of December	short-stories	fiction	contemporary
Night Pleasures (Dark-Hunter, #1)	paranormal-romance	paranormal	romance
The Millionaire Next Door: The Surprising Secrets of Americas Wealthy	non-fiction	finance	business
Don't Judge a Girl by Her Cover (Gallagher Girls, #3)	young-adult	mystery	romance
Chronicles, Vol. 1	music	biography	memoir
The Lost Continent: Travels in Small Town America	travel	non-fiction	humor
Dreams of Joy (Shanghai Girls #2)	historical-fiction	fiction	china
Tell Me Your Dreams	fiction	thriller	mystery-thriller
By the Shores of Silver Lake  (Little House, #5)	classics	historical-fiction	childrens
The Player of Games (Culture, #2)	science-fiction	fiction	space-opera
The Cricket in Times Square	childrens	fiction	classics
The Five Dysfunctions of a Team: A Leadership Fable	business	leadership	non-fiction
Junky	fiction	classics	literature
Getting to Yes: Negotiating an Agreement Without Giving In	business	psychology	non-fiction
Mile High (Up in the Air, #2)	romance	bdsm	erotica
November 9	romance	new-adult	contemporary
Everything We Keep (Everything We Keep, #1)	fiction	mystery	romance
The Mighty Storm (The Storm, #1)	romance	contemporary	adult
The Song of Achilles	historical-fiction	mythology	fantasy
The Girl with the Lower Back Tattoo	non-fiction	memoir	humor
The Bhagavad Gita	religion	philosophy	classics
The New York Trilogy	fiction	mystery	american
Esperanza Rising	historical-fiction	young-adult	fiction
Raise High the Roof Beam, Carpenters & Seymour: An Introduction	fiction	classics	short-stories
Sex and the City	chick-lit	fiction	romance
The Killing Dance (Anita Blake, Vampire Hunter, #6)	urban-fantasy	vampires	paranormal
Beyond Good and Evil	philosophy	religion	19th-century
The Watsons Go to Birmingham - 1963	historical-fiction	young-adult	fiction
Factotum	fiction	classics	literature
The Immortal Rules (Blood of Eden, #1)	vampires	young-adult	paranormal
Columbine	true-crime	history	psychology
Lasher (Lives of the Mayfair Witches, #2)	horror	fantasy	fiction
Yellow Crocus	historical-fiction	fiction	historical
No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden	non-fiction	history	war
The Chaperone	historical-fiction	fiction	historical
All That Remains (Kay Scarpetta, #3)	mystery	crime	fiction
The Regulators	horror	fiction	thriller
Season of Mists (The Sandman #4)	graphic-novels	comics	fantasy
Judge & Jury	mystery	fiction	thriller
Silas Marner	classics	fiction	literature
Origin (Lux, #4)	aliens	romance	paranormal-romance
The Botany of Desire: A Plant's-Eye View of the World	non-fiction	science	food
Beautiful Redemption (Caster Chronicles, #4)	young-adult	fantasy	paranormal
The Distant Hours	historical-fiction	fiction	mystery
I Let You Go	mystery	fiction	thriller
Kidnapped (David Balfour, #1)	classics	fiction	adventure
Friday Night Lights: A Town, a Team, and a Dream	sports	non-fiction	football
Beautiful Boy: A Father's Journey Through His Son's Addiction	non-fiction	memoir	biography
The Vincent Boys (The Vincent Boys, #1)	romance	young-adult	new-adult
The Cask of Amontillado	classics	short-stories	horror
Metamorphoses	poetry	mythology	fiction
In the Time of the Butterflies	historical-fiction	fiction	school
Gap Creek	fiction	historical-fiction	historical
Half-Blood (Covenant, #1)	young-adult	fantasy	paranormal
The Legend of Sleepy Hollow (Graphic Novel)	classics	fiction	horror
Bitter Is the New Black: Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office	chick-lit	humor	funny
The Witness	romance	romantic-suspense	mystery
Blindsighted (Grant County, #1)	mystery	thriller	crime
Angle of Repose	fiction	historical-fiction	classics
Tinker, Tailor, Soldier, Spy	fiction	mystery	thriller
Lord Brocktree (Redwall, #13)	fantasy	fiction	young-adult
Through the Ever Night (Under the Never Sky, #2)	young-adult	dystopia	romance
Barefoot	fiction	chick-lit	romance
My Friend Leonard	fiction	memoir	non-fiction
Cat on a Hot Tin Roof	plays	classics	drama
The Final Warning (Maximum Ride, #4)	young-adult	fantasy	science-fiction
Golden Fool (Tawny Man, #2)	fantasy	fiction	epic-fantasy
Split Second (Sean King & Michelle Maxwell, #1)	mystery	fiction	thriller
The Fifth Witness (Mickey Haller, #5; Harry Bosch Universe, #20)	mystery	fiction	crime
The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)	fantasy	fiction	epic-fantasy
Persepolis, Volume 1	graphic-novels	comics	non-fiction
At Home in Mitford (Mitford Years, #1)	fiction	christian-fiction	christian
Delivering Happiness: A Path to Profits, Passion, and Purpose	business	non-fiction	leadership
Scorpia (Alex Rider, #5)	young-adult	adventure	fiction
The Queen of the Tearling (The Queen of the Tearling, #1)	fantasy	young-adult	fiction
One False Note (The 39 Clues, #2)	mystery	adventure	young-adult
Tithe (Modern Faerie Tales, #1)	fantasy	young-adult	urban-fantasy
Echo Burning (Jack Reacher, #5)	thriller	fiction	mystery
The Fury / Dark Reunion (The Vampire Diaries, #3-4)	vampires	young-adult	fantasy
Never Never (Never Never, #1)	romance	young-adult	contemporary
Into the Darkest Corner	thriller	mystery	fiction
The Further Adventures of Sherlock Holmes: After Sir Arthur Conan Doyle (Classic Crime)	mystery	classics	fiction
Roses are Red (Alex Cross, #6)	mystery	fiction	thriller
Naked Empire (Sword of Truth, #8)	fantasy	fiction	epic-fantasy
Map of Bones (Sigma Force, #2)	thriller	fiction	adventure
The Stranger	mystery	thriller	fiction
Unbelievable (Pretty Little Liars, #4)	young-adult	contemporary	fiction
A Passage to India	classics	fiction	india
Seraphina (Seraphina, #1)	fantasy	young-adult	dragons
Morrigan's Cross (Circle Trilogy, #1)	romance	fantasy	paranormal
The Mammoth Hunters (Earth's Children, #3)	historical-fiction	fiction	prehistoric
Princeps' Fury (Codex Alera, #5)	fantasy	fiction	high-fantasy
Love Story (Love Story, #1)	romance	classics	fiction
Chrysanthemum	picture-books	childrens	fiction
Sweet Evil (Sweet, #1)	young-adult	paranormal	angels
The Winds of War (The Henry Family, #1)	historical-fiction	fiction	literature
The Wind Through the Keyhole (The Dark Tower, #4.5)	fantasy	fiction	horror
The Last Kingdom (The Saxon Stories, #1)	historical-fiction	fiction	historical
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It	self-help	leadership	management
Bunnicula (Bunnicula, #1)	childrens	fantasy	mystery
Exile (Forgotten Realms: The Dark Elf Trilogy, #2; Legend of Drizzt, #2)	fantasy	forgotten-realms	fiction
Ascend (Trylle, #3)	fantasy	young-adult	paranormal
The Keeper of Lost Causes (Department Q, #1)	mystery	crime	fiction
Of Love and Other Demons	fiction	magical-realism	classics
The Demigod Files (Percy Jackson and the Olympians)	fantasy	mythology	young-adult
Musicophilia: Tales of Music and the Brain	non-fiction	music	science
End of Watch (Bill Hodges Trilogy, #3)	horror	fiction	thriller
Fool	humor	fiction	fantasy
The Book of Lost Things	fantasy	fiction	young-adult
My Life	biography	non-fiction	politics
300	graphic-novels	comics	historical-fiction
Storm Warning (The 39 Clues, #9)	mystery	young-adult	fiction
Only the Good Spy Young (Gallagher Girls, #4)	young-adult	mystery	romance
Persuader (Jack Reacher, #7)	thriller	fiction	mystery
Grave Sight (Harper Connelly, #1)	mystery	paranormal	fantasy
Flaggermusmannen (Harry Hole, #1)	mystery	crime	thriller
Blood Brothers (Sign of Seven, #1)	romance	paranormal	paranormal-romance
Picture Perfect	fiction	chick-lit	contemporary
Rurouni Kenshin, Vol. 1: Meiji Swordsman Romantic Story (Rurouni Kenshin, #1)	manga	graphic-novels	comics
Catching Jordan	young-adult	romance	contemporary
Touching the Void: The True Story of One Man's Miraculous Survival	non-fiction	adventure	biography
This Girl (Slammed, #3)	romance	new-adult	contemporary
There Was an Old Lady Who Swallowed a Fly	picture-books	childrens	poetry
Way of the Peaceful Warrior: A Book That Changes Lives	spirituality	fiction	philosophy
The Satanic Verses	fiction	magical-realism	classics
Nothing to Envy: Ordinary Lives in North Korea	non-fiction	history	politics
Winning	business	leadership	non-fiction
Collide (Collide, #1)	romance	new-adult	contemporary-romance
How We Decide	non-fiction	psychology	science
The Beekeeper's Apprentice (Mary Russell, #1)	mystery	fiction	historical-fiction
The Story of Babar	childrens	picture-books	fiction
The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)	fantasy	young-adult	magic
First Lord's Fury (Codex Alera, #6)	fantasy	fiction	epic-fantasy
The Imperfectionists	fiction	italy	literary-fiction
The Sea of Tranquility	young-adult	romance	contemporary
Persepolis 2: The Story of a Return (Persepolis, #2)	graphic-novels	comics	non-fiction
Pyramids (Discworld, #7)	fantasy	fiction	humor
Silverthorn (The Riftwar Saga, #3)	fantasy	fiction	epic-fantasy
Before I Die	romance	fiction	realistic-fiction
Committed: A Skeptic Makes Peace with Marriage	non-fiction	memoir	biography
Keeping the Moon	young-adult	romance	contemporary
The Transfer (Divergent, #0.1)	young-adult	dystopia	short-stories
Chainfire (Sword of Truth, #9)	fantasy	fiction	epic-fantasy
Mastering the Art of French Cooking	cookbooks	cooking	food
Blue Exorcist, Vol. 1  (Blue Exorcist, #1)	manga	fantasy	graphic-novels
Confessor (Sword of Truth, #11)	fantasy	fiction	epic-fantasy
The Reluctant Fundamentalist	fiction	contemporary	pakistan
The False Prince (The Ascendance Trilogy #1)	fantasy	young-adult	adventure
Rabbit, Run (Rabbit Angstrom #1)	fiction	classics	literature
Stumbling on Happiness	non-fiction	psychology	science
The Waste Land and Other Poems	poetry	classics	fiction
Little Bear	childrens	picture-books	fiction
The Pit and the Pendulum	classics	horror	short-stories
Lords and Ladies (Discworld, #14; Witches #4)	fantasy	humor	fiction
Thud! (Discworld, #34; City Watch #7)	fantasy	fiction	humor
His Majesty's Dragon (Temeraire, #1)	fantasy	dragons	historical-fiction
The Field Guide (The Spiderwick Chronicles, #1)	fantasy	childrens	fiction
Radical: Taking Back Your Faith from the American Dream	non-fiction	christian-living	christianity
The 48 Laws of Power	non-fiction	business	psychology
My Side of the Mountain (Mountain, #1)	fiction	young-adult	childrens
The Winter Sea (Slains, #1)	historical-fiction	romance	fiction
The Sword Thief (The 39 Clues, #3)	mystery	adventure	young-adult
Coma	fiction	thriller	mystery
Requiem for a Dream	fiction	classics	thriller
Into the Wild (Warriors, #1)	fantasy	animals	young-adult
Bury My Heart at Wounded Knee: An Indian History of the American West	history	non-fiction	american-history
The Pianist: The Extraordinary Story of One Man's Survival in Warsaw, 1939–45	non-fiction	history	holocaust
Rush (Breathless, #1)	romance	contemporary-romance	adult
The Picture of Dorian Gray: A Graphic Novel	classics	graphic-novels	fiction
Swan Song	horror	post-apocalyptic	fiction
The Buried Giant	fantasy	fiction	historical-fiction
Perdido Street Station (Bas-Lag, #1)	fantasy	science-fiction	fiction
Need (Need, #1)	young-adult	fantasy	paranormal
Witches Abroad (Discworld, #12; Witches #3)	fantasy	humor	fiction
The Legend of Sleepy Hollow and Other Stories	fiction	short-stories	gothic
Heretics of Dune (Dune Chronicles #5)	science-fiction	fiction	fantasy
The Cross and the Switchblade	christian	non-fiction	biography
Captain's Fury (Codex Alera, #4)	fantasy	fiction	epic-fantasy
Damned (Damned, #1)	fantasy	horror	contemporary
Rules	realistic-fiction	young-adult	fiction
Swamplandia!	fiction	magical-realism	abandoned
The Last Coyote (Harry Bosch, #4; Harry Bosch Universe, #4)	mystery	fiction	crime
Salt: A World History	history	non-fiction	food
Villette	classics	fiction	romance
Reamde	fiction	science-fiction	thriller
Soul Music (Discworld, #16; Death, #3)	fantasy	fiction	humor
Notorious Nineteen (Stephanie Plum, #19)	mystery	fiction	humor
The Greatest Show on Earth: The Evidence for Evolution	science	non-fiction	evolution
Sin City, Vol. 1: The Hard Goodbye (Sin City, #1)	graphic-novels	comics	fiction
The Greatest Salesman in the World	self-help	fiction	non-fiction
Casino Royale (James Bond, #1)	fiction	thriller	mystery
The Bronze Horseman (The Bronze Horseman, #1)	romance	historical	historical-romance
Sula	fiction	classics	african-american
The Atlantis Gene (The Origin Mystery, #1)	fiction	science-fiction	thriller
The Red Queen (The Plantagenet and Tudor Novels, #3)	historical-fiction	historical	fiction
Something About You (FBI/US Attorney, #1)	romance	contemporary-romance	contemporary
Mr. Brown Can Moo! Can You?	picture-books	childrens	fiction
Black House (The Talisman, #2)	horror	fantasy	fiction
Marvel 1602	graphic-novels	comics	fantasy
Act of Treason (Mitch Rapp, #9)	fiction	thriller	action
The Dog Stars	fiction	post-apocalyptic	science-fiction
The Spy Who Came In from the Cold	fiction	thriller	espionage
Academ's Fury (Codex Alera, #2)	fantasy	fiction	epic-fantasy
When the Wind Blows (When the Wind Blows, #1)	mystery	fiction	thriller
1Q84 BOOK 1 (1Q84, #1)	fiction	fantasy	japan
The Pilgrimage	fiction	philosophy	spirituality
The Hard Way (Jack Reacher, #10)	thriller	fiction	mystery
The Incredible Journey	fiction	animals	classics
March	historical-fiction	fiction	historical
A Wanted Man (Jack Reacher, #17)	fiction	thriller	mystery
All-Star Superman, Vol. 1	comics	graphic-novels	superman
A Song of Ice and Fire (A Song of Ice and Fire, #1-5)	fantasy	epic-fantasy	dragons
Dark Witch (The Cousins O'Dwyer Trilogy, #1)	romance	fantasy	paranormal
Dark Flame (The Immortals, #4)	young-adult	fantasy	paranormal
The Widow	mystery	fiction	crime
The Black Circle (The 39 Clues, #5)	mystery	adventure	young-adult
The Prince (The Selection, #0.5)	young-adult	romance	dystopia
The Winner's Curse (The Winner's Trilogy, #1)	fantasy	young-adult	romance
Push	fiction	young-adult	african-american
The Story of a New Name (The Neapolitan Novels #2)	fiction	italy	historical-fiction
2010: Odyssey Two (Space Odyssey, #2)	science-fiction	fiction	classics
Soul Eater, Vol. 01 (Soul Eater, #1)	manga	fantasy	graphic-novels
Ordinary Grace	fiction	historical-fiction	mystery
Last Man Standing	fiction	thriller	mystery
American Born Chinese	graphic-novels	young-adult	comics
Peter Pan (A Little Golden Book)	childrens	fantasy	picture-books
Ten Tiny Breaths (Ten Tiny Breaths, #1)	new-adult	romance	contemporary
The Thousand Autumns of Jacob de Zoet	fiction	historical-fiction	japan
Dr. Faustus	drama	fiction	fantasy
Dance with the Devil (Dark-Hunter #3)	paranormal	paranormal-romance	romance
Lipstick Jungle	chick-lit	fiction	romance
Violets Are Blue (Alex Cross, #7)	mystery	fiction	thriller
Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!	self-help	productivity	personal-development
Blue Moon (Anita Blake, Vampire Hunter, #8)	urban-fantasy	vampires	paranormal
Burnt Offerings (Anita Blake, Vampire Hunter, #7)	vampires	romance	paranormal-romance
The Silent Sister (Riley MacPherson, #1)	fiction	mystery	suspense
Player Piano	science-fiction	fiction	dystopia
The Lost World (Professor Challenger, #1)	classics	science-fiction	fiction
Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)	fiction	humor	fantasy
Kindred	historical-fiction	fiction	fantasy
The Long Winter (Little House, #6)	classics	historical-fiction	childrens
Boundaries: When to Say Yes, How to Say No to Take Control of Your Life	non-fiction	christian-living	psychology
Blue Lily, Lily Blue (The Raven Cycle, #3)	fantasy	young-adult	paranormal
Portnoy's Complaint	fiction	classics	novels
The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You	leadership	business	non-fiction
Cat's Eye	fiction	contemporary	literary-fiction
The Perfect Game (The Perfect Game, #1)	new-adult	romance	sports
Monsters of Men (Chaos Walking, #3)	young-adult	dystopia	science-fiction
Shadow of the Giant (Ender's Shadow, #4)	science-fiction	fiction	fantasy
Wonderstruck	historical-fiction	fiction	young-adult
Simple Abundance:  A Daybook of Comfort and Joy	non-fiction	self-help	spirituality
Blood Red Road (Dust Lands, #1)	young-adult	dystopia	fantasy
The 6th Target (Women's Murder Club, #6)	mystery	fiction	thriller
A Princess of Mars (Barsoom, #1)	science-fiction	fantasy	classics
MaddAddam (MaddAddam, #3)	fiction	science-fiction	dystopia
These Happy Golden Years (Little House, #8)	classics	historical-fiction	childrens
Color: A Natural History of the Palette	art	non-fiction	history
Skipping Christmas	fiction	christmas	humor
The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)	mystery	crime	fiction
Home Front	fiction	chick-lit	romance
Beautiful Stranger (Beautiful Bastard, #2)	romance	erotica	contemporary
The Sweet Far Thing (Gemma Doyle, #3)	fantasy	young-adult	historical-fiction
A Lesson Before Dying	fiction	classics	historical-fiction
SantaLand Diaries	humor	non-fiction	memoir
See Me	fiction	romance	contemporary
Mini Shopaholic (Shopaholic, #6)	chick-lit	fiction	romance
Harry the Dirty Dog	picture-books	childrens	fiction
All Fall Down	fiction	chick-lit	contemporary
Down and Out in Paris and London	non-fiction	classics	fiction
Maid-sama! Vol. 01 (Maid-sama!, #1)	manga	anime	young-adult
Griffin and Sabine (Griffin & Sabine #1)	fiction	art	fantasy
Ruin and Rising (Shadow and Bone, #3)	fantasy	young-adult	romance
يوتوبيا	novels	dystopia	fiction
Certain Girls (Cannie Shapiro #2)	chick-lit	fiction	romance
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar	non-fiction	memoir	self-help
Beyond the Highland Mist (Highlander, #1)	romance	time-travel	historical-romance
The Stranger Beside Me: Ted Bundy The Shocking Inside Story	true-crime	non-fiction	crime
Stargazer (Evernight, #2)	vampires	young-adult	paranormal
Rising Sun	fiction	thriller	mystery
The Other Side of Midnight (Midnight #1)	fiction	thriller	mystery
The Reversal (Harry Bosch, #16; Mickey Haller, #4; Harry Bosch Universe, #19)	mystery	fiction	crime
Wayside School Is Falling Down (Wayside School #2)	childrens	fiction	humor
The Invisible Bridge	historical-fiction	fiction	historical
The Fall of Five (Lorien Legacies, #4)	young-adult	fantasy	science-fiction
The Mayor of Casterbridge	classics	fiction	literature
The Red Pony	classics	fiction	literature
The Devil's Star (Harry Hole, #5)	crime	mystery	fiction
Here on Earth	fiction	romance	magical-realism
Taltos (Lives of the Mayfair Witches, #3)	horror	fantasy	fiction
Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)	urban-fantasy	vampires	paranormal
The Daylight War (Demon Cycle, #3)	fantasy	epic-fantasy	fiction
The Appeal	fiction	thriller	mystery
The Woman Who Rides Like a Man (Song of the Lioness, #3)	young-adult	fiction	magic
Midnight Riot (Peter Grant, #1)	fantasy	urban-fantasy	mystery
Lucy Sullivan Is Getting Married	chick-lit	fiction	romance
A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)	fantasy	young-adult	fiction
A Suitable Boy (A Suitable Boy, #1)	fiction	india	historical-fiction
We Should All Be Feminists	non-fiction	feminism	essays
River Marked (Mercy Thompson, #6)	urban-fantasy	fantasy	paranormal
I Like You: Hospitality Under the Influence	humor	non-fiction	cookbooks
Pattern Recognition (Blue Ant, #1)	fiction	science-fiction	cyberpunk
The Kind Worth Killing	mystery	thriller	fiction
1,000 Places to See Before You Die	travel	non-fiction	reference
Physik (Septimus Heap, #3)	fantasy	young-adult	magic
Boy: Tales of Childhood	non-fiction	biography	memoir
Traveling Mercies: Some Thoughts on Faith	non-fiction	memoir	spirituality
Memorial Day (Mitch Rapp, #7)	fiction	thriller	action
Wild Magic (Immortals, #1)	fantasy	young-adult	magic
Prelude to Foundation	science-fiction	fiction	science
You Are Special (Wemmicksville, #1)	picture-books	childrens	christian
The Wrath and the Dawn (The Wrath and the Dawn, #1)	fantasy	young-adult	romance
Half the Sky: Turning Oppression into Opportunity for Women Worldwide	non-fiction	feminism	social-justice
Why We Broke Up	young-adult	romance	contemporary
The Assassin's Blade (Throne of Glass, #0.1-0.5)	fantasy	young-adult	romance
American Wife	fiction	historical-fiction	chick-lit
Cursor's Fury (Codex Alera, #3)	fantasy	fiction	epic-fantasy
The Sparrow (The Sparrow, #1)	science-fiction	fiction	religion
Mercy	fiction	contemporary	chick-lit
The Paper Magician (The Paper Magician Trilogy, #1)	fantasy	young-adult	fiction
Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment	non-fiction	relationships	humor
Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President	history	non-fiction	biography
We Have Always Lived in the Castle	horror	fiction	classics
Love and Respect: The Love She Most Desires; The Respect He Desperately Needs	marriage	christian	non-fiction
The Brass Verdict (Harry Bosch, #14; Mickey Haller, #2; Harry Bosch Universe, #17)	mystery	fiction	crime
Dark Force Rising	star-wars	science-fiction	fiction
Never Go Back (Jack Reacher, #18)	fiction	thriller	mystery
The Two Princesses of Bamarre	fantasy	young-adult	fairy-tales
Black Boy	classics	non-fiction	fiction
Cane River	historical-fiction	fiction	historical
Phantom (Sword of Truth, #10)	fantasy	fiction	epic-fantasy
Foundation and Earth (Foundation #5)	science-fiction	fiction	science
Flags of Our Fathers	history	non-fiction	war
The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)	classics	childrens	fiction
The Story of My Experiments With Truth	biography	non-fiction	autobiography
It's Not About the Bike: My Journey Back to Life	cycling	autobiography	sports
Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier	history	non-fiction	biography
H is for Hawk	non-fiction	memoir	biography
Us	fiction	contemporary	romance
Sojourn (Forgotten Realms: The Dark Elf Trilogy, #3; Legend of Drizzt, #3)	fantasy	forgotten-realms	fiction
Ender's Game, Volume 1: Battle School (Ender's Saga)	science-fiction	graphic-novels	fiction
Kimi ni Todoke: From Me to You, Vol. 1	manga	romance	graphic-novels
False Memory	horror	fiction	thriller
Moving Pictures (Discworld, #10; Industrial Revolution, #1)	fantasy	humor	fiction
Captive in the Dark (The Dark Duet, #1)	dark	erotica	bdsm
As a Man Thinketh	non-fiction	personal-development	psychology
Bonk: The Curious Coupling of Science and Sex	non-fiction	science	humor
Midnight Alley (The Morganville Vampires, #3)	vampires	young-adult	paranormal
The Little Paris Bookshop	fiction	books-about-books	romance
Sweet Tooth	fiction	historical-fiction	mystery
Twisted Perfection (Rosemary Beach, #5; Perfection, #1)	new-adult	romance	contemporary
Executive Orders (Jack Ryan Universe, #9)	fiction	thriller	espionage
One Thousand Gifts: A Dare to Live Fully Right Where You Are	non-fiction	christian-living	faith
Psycho	horror	fiction	classics
Ship of Magic (Liveship Traders, #1)	fantasy	fiction	epic-fantasy
Where Eagles Dare 	thriller	fiction	war
Circle of Friends	romance	ireland	historical-fiction
Milk and Honey	feminism	poetry	non-fiction
Rainbow Six (Jack Ryan Universe, #10)	fiction	thriller	action
Fragile Things: Short Fictions and Wonders	fantasy	short-stories	fiction
Sister	thriller	crime	mystery
The Three-Body Problem (Remembrance of Earth’s Past, #1)	science-fiction	fiction	china
Thief of Time (Discworld, #26; Death, #5)	fantasy	fiction	humor
Superman: Red Son	graphic-novels	comics	fiction
Three Junes	fiction	contemporary	adult-fiction
The Autobiography of Benjamin Franklin	biography	autobiography	american-history
The Reason for God: Belief in an Age of Skepticism	christian	theology	non-fiction
King of Thorns (The Broken Empire, #2)	fantasy	fiction	dark-fantasy
The Sins of the Father (The Clifton Chronicles, #2)	fiction	historical-fiction	mystery
